Run,lat,lon
ERR2223292,-18.561,-175.823
ERR2356357,-18.561,-175.823
SRR26628629,-20.66,-176.92
SRR26628630,-20.66,-176.92
SRR26628632,-20.66,-176.92
SRR26628633,-20.66,-176.92
SRR26628634,-20.66,-176.92
SRR26628652,-20.66,-176.92
SRR26628653,-20.66,-176.92
SRR26628654,-20.66,-176.92
