time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-03T19:43:53.232Z,-23.9224,-176.801,118.23,4.5,mb,,242,5.411,0.34,us,us6000gahz,2022-02-12T23:06:48.040Z,"south of the Fiji Islands",earthquake,17.3,19,0.242,5,reviewed,us,us
2021-12-03T20:54:18.606Z,-24.6502,179.9749,531.2,4.2,mb,,125,4.962,0.56,us,us6000gai7,2022-02-12T23:06:49.040Z,"south of the Fiji Islands",earthquake,21.5,13.2,0.176,9,reviewed,us,us
2021-12-04T06:38:27.674Z,-30.3548,-177.5541,30.73,4.6,mb,,116,1.134,0.81,us,us6000gajm,2022-02-12T23:06:53.040Z,"Kermadec Islands, New Zealand",earthquake,9.3,7.9,0.146,14,reviewed,us,us
2021-12-04T10:06:15.058Z,-29.5894,-176.8746,10,4.3,mb,,199,0.968,0.42,us,us6000gajx,2022-02-12T23:06:54.040Z,"Kermadec Islands region",earthquake,9.9,1.9,0.154,14,reviewed,us,us
2021-12-04T10:14:55.560Z,-10.1573,161.1643,51.64,4.7,mb,,79,1.395,0.45,us,us6000g8zx,2022-02-12T23:05:50.040Z,"89 km WNW of Kirakira, Solomon Islands",earthquake,8.1,7.6,0.073,59,reviewed,us,us
2021-12-04T12:07:31.020Z,-13.6972,167.3754,207.36,4.7,mb,,93,1.747,0.66,us,us6000gak1,2022-02-12T23:06:54.040Z,"27 km NW of Sola, Vanuatu",earthquake,7.5,6.2,0.089,38,reviewed,us,us
2021-12-04T16:56:23.156Z,-29.81,-176.8306,10,4.6,mb,,73,12.889,1.09,us,us6000gakh,2022-02-12T23:06:56.040Z,"Kermadec Islands region",earthquake,7.6,1.9,0.172,11,reviewed,us,us
2021-12-04T17:23:30.382Z,-31.6185,-179.6273,204.09,4.4,mb,,90,2.773,1.01,us,us6000g91r,2022-02-12T23:05:53.040Z,"Kermadec Islands region",earthquake,9.3,5.5,0.115,24,reviewed,us,us
2021-12-04T19:27:28.169Z,-12.4401,167.0471,222.08,4.2,mb,,148,2.993,0.61,us,us6000gaka,2022-02-12T23:06:56.040Z,"168 km NNW of Sola, Vanuatu",earthquake,13.7,7.6,0.141,14,reviewed,us,us
2021-12-04T21:52:57.926Z,-17.7798,-174.3456,79.55,4.5,mb,,138,4.571,0.42,us,us6000gakf,2022-02-12T23:06:56.040Z,"103 km NNW of Neiafu, Tonga",earthquake,8.7,9.8,0.156,12,reviewed,us,us
2021-12-05T03:54:45.807Z,-24.1889,179.8591,537.34,4.1,mb,,101,5.428,0.79,us,us6000gawa,2022-02-12T23:07:17.040Z,"south of the Fiji Islands",earthquake,15.8,8.1,0.213,7,reviewed,us,us
2021-12-05T05:24:03.792Z,-19.2171,-177.4704,576.93,4.1,mb,,126,4.493,0.64,us,us6000gawe,2022-02-12T23:07:17.040Z,"Fiji region",earthquake,13.2,9.1,0.117,21,reviewed,us,us
