datetime,TEMP,TEMP long_name,TEMP Unit,DOX1,DOX1 long_name,DOX1 Unit,PSAL,PSAL long_name,PSAL Unit,PHOS,PHOS long_name,PHOS Unit,PHOW,PHOW long_name,PHOW Unit,NTRA,NTRA long_name,NTRA Unit,DOXY,DOXY long_name,DOXY Unit,SLCA,SLCA long_name,SLCA Unit,CPHL,CPHL long_name,CPHL Unit,DOX2,DOX2 long_name,DOX2 Unit,SLCW,SLCW long_name,SLCW Unit,CHLT,CHLT long_name,CHLT Unit,FLU2,FLU2 long_name,FLU2 Unit,NTAW,NTAW long_name,NTAW Unit,NTRI,NTRI long_name,NTRI Unit,NTIW,NTIW long_name,NTIW Unit,NTRZ,NTRZ long_name,NTRZ Unit,AMON,AMON long_name,AMON Unit,NODW,NODW long_name,NODW Unit,PHPH,PHPH long_name,PHPH Unit,WSPD,WSPD long_name,WSPD Unit,WDIR,WDIR long_name,WDIR Unit,DRYT,DRYT long_name,DRYT Unit,PRRT,PRRT long_name,PRRT Unit,PRRD,PRRD long_name,PRRD Unit,platform_code,PRES,DEPTH,LONGITUDE,LATITUDE,dataset_id
2021-11-24 22:47:00,27.709,Sea temperature,degrees_C,,,,34.9101,Practical salinity,0.001,,,,,,,,,,,,,,,,-0.0073,Chlorophyll-a,mg m-3,190.293,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,1.8,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.698,Sea temperature,degrees_C,,,,34.9155,Practical salinity,0.001,,,,,,,,,,,,,,,,0.0,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,2.0,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.692,Sea temperature,degrees_C,,,,34.9182,Practical salinity,0.001,,,,,,,,,,,,,,,,-0.0146,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,2.1,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.687,Sea temperature,degrees_C,,,,34.9209,Practical salinity,0.001,,,,,,,,,,,,,,,,-0.0073,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,2.2,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.681,Sea temperature,degrees_C,,,,34.9236,Practical salinity,0.001,,,,,,,,,,,,,,,,0.0,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,2.3,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.676,Sea temperature,degrees_C,,,,34.9263,Practical salinity,0.001,,,,,,,,,,,,,,,,0.0073,Chlorophyll-a,mg m-3,190.588,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,2.4,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.67,Sea temperature,degrees_C,,,,34.929,Practical salinity,0.001,,,,,,,,,,,,,,,,0.0073,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,2.5,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.667,Sea temperature,degrees_C,,,,34.9289,Practical salinity,0.001,,,,,,,,,,,,,,,,0.0,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,2.6,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.662,Sea temperature,degrees_C,,,,34.9287,Practical salinity,0.001,,,,,,,,,,,,,,,,-0.011,Chlorophyll-a,mg m-3,190.66,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,2.8,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.66,Sea temperature,degrees_C,,,,34.9286,Practical salinity,0.001,,,,,,,,,,,,,,,,-0.0073,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,2.9,,-179.2634,-22.2277,16735
